NACA 22112
1.00000901,0.00125997
0.99932450,0.00136098
0.99727288,0.00166336
0.99385985,0.00216516
0.98909489,0.00286317
0.98299124,0.00375296
0.97556586,0.00482900
0.96683933,0.00608471
0.95683585,0.00751258
0.94558311,0.00910428
0.93311226,0.01085075
0.91945775,0.01274233
0.90465727,0.01476886
0.88875164,0.01691973
0.87178465,0.01918396
0.85380298,0.02155026
0.83485603,0.02400702
0.81499582,0.02654235
0.79427678,0.02914403
0.77275567,0.03179951
0.75049136,0.03449582
0.72754472,0.03721954
0.70397840,0.03995677
0.67985671,0.04269299
0.65524542,0.04541310
0.63021158,0.04810133
0.60482334,0.05074126
0.57914980,0.05331583
0.55326077,0.05580738
0.52722666,0.05819775
0.50111822,0.06046837
0.47500642,0.06260044
0.44896223,0.06457512
0.42305645,0.06637373
0.39735952,0.06797801
0.37194134,0.06937038
0.34687113,0.07053422
0.32221717,0.07145413
0.29804669,0.07211624
0.27442566,0.07250844
0.25141864,0.07262061
0.22908856,0.07244481
0.20749660,0.07197545
0.18670197,0.07120936
0.16676180,0.07014586
0.14773090,0.06878670
0.12965588,0.06713609
0.11214374,0.06514893
0.09513781,0.06262772
0.07892074,0.05941319
0.06375795,0.05543591
0.04988757,0.05071555
0.03750838,0.04535018
0.02676964,0.03949715
0.01776637,0.03334885
0.01054133,0.02710779
0.00509256,0.02096472
0.00138344,0.01508213
-0.0006474,0.00958326
-0.0010784,0.00454588
0.00000000,0.00000000
0.00244893,-0.00397540
0.00612553,-0.00734074
0.01092822,-0.01018170
0.01675984,-0.01260500
0.02353284,-0.01472856
0.03117711,-0.01667121
0.03964993,-0.01854341
0.04894617,-0.02044053
0.05910591,-0.02243902
0.07021664,-0.02459428
0.08240869,-0.02693744
0.09584519,-0.02946743
0.11071030,-0.03213611
0.12719929,-0.03482593
0.14516232,-0.03734868
0.16410760,-0.03962653
0.18397764,-0.04165187
0.20471815,-0.04341937
0.22627241,-0.04492585
0.24858136,-0.04617036
0.27158384,-0.04715407
0.29521667,-0.04788030
0.31941488,-0.04835432
0.34411188,-0.04858326
0.36923961,-0.04857587
0.39472879,-0.04834235
0.42050909,-0.04789409
0.44650930,-0.04724350
0.47265762,-0.04640374
0.49888178,-0.04538851
0.52510930,-0.04421192
0.55126769,-0.04288823
0.57728467,-0.04143180
0.60308835,-0.03985693
0.62860747,-0.03817781
0.65377157,-0.03640844
0.67851124,-0.03456267
0.70275824,-0.03265414
0.72644578,-0.03069635
0.74950864,-0.02870267
0.77188337,-0.02668640
0.79350847,-0.02466081
0.81432457,-0.02263919
0.83427457,-0.02063486
0.85330380,-0.01866119
0.87136018,-0.01673158
0.88839432,-0.01485946
0.90435972,-0.01305819
0.91921282,-0.01134102
0.93291314,-0.00972094
0.94542341,-0.00821060
0.95670961,-0.00682210
0.96674110,-0.00556691
0.97549066,-0.00445565
0.98293458,-0.00349792
0.98905271,-0.00270220
0.99382849,-0.00207562
0.99724901,-0.00162388
0.99930503,-0.00135116
0.99999099,-0.00125997
